,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.02273,0.27273,54,1.22727,1.04545,88,2
1,0.01136,0.19318,101,1.14773,0.69318,145,1.64773
2,0.00568,0.13068,191,1.08523,0.4375,245,1.39205
3,0.00284,0.08807,367,1.04261,0.28693,437,1.24148
4,0.00142,0.0625,716,1.01705,0.18892,805,1.14347
5,0.00071,0.04332,1405,0.99787,0.12997,1527,1.08452
6,0.00036,0.03018,2773,0.98473,0.08807,2936,1.04261
