,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.01786,0.30357,65,1.16071,1.125,111,1.98214
1,0.00893,0.20536,119,1.0625,0.75893,181,1.61607
2,0.00446,0.14286,224,1,0.47768,299,1.33482
3,0.00223,0.09821,428,0.95536,0.31696,526,1.17411
4,0.00112,0.06808,829,0.92522,0.20982,956,1.06696
5,0.00056,0.04743,1621,0.90458,0.14063,1788,0.99777
6,0.00028,0.0332,3191,0.89035,0.09542,3414,0.95257
