,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.01923,0.30769,62,1.19231,1.11538,104,2
1,0.00962,0.20192,113,1.08654,0.74038,169,1.625
2,0.00481,0.13942,213,1.02404,0.46635,281,1.35096
3,0.00240,0.09615,408,0.98077,0.30288,494,1.1875
4,0.00120,0.06611,791,0.95072,0.20553,907,1.09014
5,0.00060,0.04627,1549,0.93089,0.13762,1701,1.02224
6,0.00030,0.03245,3052,0.91707,0.09345,3255,0.97806
