,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.00139,0.20972,811,1.12639,0.25694,845,1.17361
1,0.00069,0.15486,1543,1.07153,0.19167,1596,1.10833
2,0.00035,0.11458,2970,1.03125,0.15104,3075,1.06771
3,0.00017,0.08316,5759,0.99983,0.12535,6002,1.04201
4,0.00009,0.05981,11249,0.97648,0.10903,11816,1.02569
5,0.00004,0.04266,22103,0.95933,0.18377,25354,1.10043
6,0.00002,0.03034,43638,0.94701,0.18403,50720,1.10069
