,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.01667,0.31667,69,1.15,1.16667,120,2
1,0.00833,0.21667,126,1.05,0.775,193,1.60833
2,0.00417,0.14583,235,0.979166667,0.49583,319,1.32917
3,0.00208,0.1,448,0.933333333,0.325,556,1.15833
4,0.00104,0.06979,867,0.903125,0.21458,1006,1.04792
5,0.00052,0.04844,1693,0.881770833,0.14375,1876,0.97708
6,0.00026,0.03411,3331,0.867447917,0.09714,3573,0.93047
