,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.02083,0.29167,58,1.20833,1.0625,95,1.97917
1,0.01042,0.19792,107,1.11458,0.71875,157,1.63542
2,0.00521,0.13542,202,1.05208,0.45313,263,1.36979
3,0.00260,0.09375,388,1.01042,0.29427,465,1.21094
4,0.00130,0.0638,753,0.98047,0.20052,858,1.11719
5,0.00065,0.04492,1477,0.96159,0.13411,1614,1.05078
6,0.00033,0.03125,2912,0.94792,0.09049,3094,1.00716
