,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.00152,0.18333,751,1.13788,0.2303,782,1.18485
1,0.00076,0.13485,1438,1.08939,0.16439,1477,1.11894
2,0.00038,0.10114,2787,1.05568,0.12311,2845,1.07765
3,0.00019,0.07557,5439,1.03011,0.09697,5552,1.05152
4,0.00009,0.05559,10667,1.01013,0.08049,10930,1.03504
5,0.00005,0.0402,21009,0.99474,0.07008,21640,1.02462
6,0.00002,0.02879,41536,0.98333,0.50675,61725,1.46129
