,dt,Tol. ATT. Error,Tol. Time Level,Tol. Est. ATT.,Max ATT. Error,Max Time Level,Max Est. ATT.
0,0.00111,0.28444,1006,1.11778,0.67778,1360,1.51111
1,0.00056,0.19722,1855,1.03056,0.59278,2567,1.42611
2,0.00028,0.13778,3496,0.97111,0.47139,4697,1.30472
3,0.00014,0.09639,6694,0.92972,0.39514,8845,1.22847
4,0.00007,0.06771,12975,0.90104,0.30715,16423,1.14049
5,0.00003,0.04764,25372,0.88097,0.24372,31019,1.07705
6,0.00002,0.03358,49934,0.86691,0.24788,62278,1.08122
